,hero1,hero2
183,TOAD/MORTIMER TOYNBE,HERCULES [GREEK GOD]
184,UMAR,GAEA
185,RINTRAH,BLACK WIDOW/NATASHA 
186,"TALBOT, GLENN",HULK/DR. ROBERT BRUC
187,CAPTAIN AMERICA,"GYRICH, HENRY PETER"
188,CAPTAIN AMERICA,BINARY/CAROL DANVERS
189,SILVER SURFER/NORRIN,BLACK WIDOW/NATASHA 
190,"SZARDOS, MARGALI",STARFOX/EROS
191,SHADOWCAT/KATHERINE ,KATH
192,IRON MAN IV/JAMES R.,CYCLOPS/SCOTT SUMMER
193,SERSI/SYLVIA,GYPSY MOTH
194,FURGAR,LLYRON
195,JUBILEE/JUBILATION L,QUICKSILVER/PIETRO M
196,"CHORD, ANDREW",FIRESTAR/ANGELICA JO
197,TORPEDO III/BROCK JO,BOULDER/
198,"KELLY, SEN. ROBERT E",NANNY II
199,MERCURY III/,WOLVERINE/LOGAN 
200,INVISIBLE WOMAN/SUE ,ABRAXAS
201,"HAMMER, JUSTIN",TERROR II
202,SYNCH/EVERETT THOMAS,"ST. CROIX, NICOLE"
203,VISION ,CRYSTAL [INHUMAN]
204,"HATCHWAY, VERNON",CHARCOAL/CHARLIE BUR
205,D'KEN [SHI'AR],LILANDRA NERAMANI [S
206,SPIDER-MAN CLONE/BEN,"PARKER, MAY"
207,BATROC/GEORGES BATRO,WHIRLWIND/DAVID CANN
208,IDNAR,"POWELL, JASON"
209,PARALYZER,DR. STRANGE/STEPHEN 
210,VOLSTAGG,SIF
211,ABSORBING MAN/CARL C,PILEDRIVER II/BRIAN 
212,LADY DEATHSTRIKE/YUR,BONEBREAKER/
213,"GYRICH, HENRY PETER",BEAST/HENRY &HANK& P
214,HAMMERHEAD,WORD II/
215,DOC SAMSON/DR. LEONA,SHE-HULK/JENNIFER WA
216,HUMAN TORCH/JOHNNY S,"HARKNESS, AGATHA"
217,HELLCAT/PATSY WALKER,SUB-MARINER/NAMOR MA
218,SCARLET WITCH/WANDA ,SHANG-CHI
219,THING/BENJAMIN J. GR,HUMAN TORCH/JOHNNY S
220,MEPHISTO,HERMOD [ASGARDIAN]
221,"LACOSTE, RAE","SEGAR, OWEN"
222,ZARAN/MAXIMILLIAN ZA,"ISHIHARA, ZOE"
223,MOONSTONE II/KARLA S,CHARCOAL/CHARLIE BUR
224,WEREWOLF BY NIGHT/JA,SHROUD/MAXIMILLIAN Q
225,LEAP-FROG/VINCENT PA,STILETTO
226,"BOWEN, FATHER MICHAE","RICHARDS, FRANKLIN B"
227,COLOSSUS II/PETER RA,WOLVERINE/LOGAN 
228,CYCLOPS/SCOTT SUMMER,WOLVERINE/LOGAN 
229,"FREEMAN, DEREK","JACKSON, CURTISS"
230,COMET/HARRIS MOORE,CRIMEBUSTER/FRANK MO
231,"MCCABE, LINDSAY",COLOSSUS II/PETER RA
232,ELEKTRA | MUTANT X-V,FANDRAL | MUTANT X-V
233,SHADOWCAT/KATHERINE ,NIGHTCRAWLER/KURT WA
234,WOLFSBANE/RAHNE SINC,"HUNTER, STEVIE"
235,MARVEL GIRL/JEAN GRE,BEAST/HENRY &HANK& P
236,NAMORITA/NITA PRENTI,GAMORA
237,IRON MAN/TONY STARK ,"JARVIS, EDWIN "
238,ODIN [ASGARDIAN],VOLSTAGG
239,GHOST RIDER II/JOHNN,SNARE
240,CYCLOPS/SCOTT SUMMER,WILDSIDE
241,HULK/DR. ROBERT BRUC,NORTHSTAR/JEAN-PAUL 
242,"ROSS, GEN. THADDEUS ","BANNER, BETTY ROSS T"
243,COLOSSUS II/PETER RA,"HUXLEY, DR. ALDA"
244,SILVER SABLE,SPIDER-MAN/PETER PAR
245,HUMAN TORCH/JOHNNY S,"WINGFOOT, WYATT"
246,"CHORD, ANDREW",NIGHT THRASHER/DUANE
247,ROGUE /,WASP/JANET VAN DYNE 
248,EL JAGUAR,SILVERMANE/SILVIO MA
249,JUGGERNAUT/CAIN MARK,LOCKHEED
250,MARVEL GIRL/JEAN GRE,WOLVERINE/LOGAN 
251,"KINCAID, DR. JANE FO","COLLINS, DEMITRIUS"
252,THENA,MAKKARI/MIKE KHARY/I
253,VISION ,CAPTAIN MARVEL II/MO
254,PUCK/EUGENE MILTON J,AURORA/JEANNE-MARIE 
255,PROJECTOR/,SHADOWCAT/KATHERINE 
256,LADY LARK/LINDA LEWI,DR. STRANGE/STEPHEN 
257,PSYCHO-MAN,CAPTAIN MARVEL III/G
258,"LAMY, KELLY",RALF
259,SCARLET WITCH/WANDA ,TIGRA/GREER NELSON
260,SPEEDBALL DOPPELGANG,THANOS DOPPELGANGER
261,CAPTAIN AMERICA,TUMBLER/JOHN ROBERT 
262,INVISIBLE WOMAN/SUE ,EXECUTIONER II/SKURG
263,CYCLOPS/SCOTT SUMMER,CERISE II [SHI'AR]
264,SHANG-CHI,"SMITH, SIR DENIS NAY"
265,NOVA/RICHARD RIDER,THUNDERSTRIKE/ERIC K
266,ANT-MAN II/SCOTT HAR,"VERMIN, LADY"
267,HUMAN TORCH ANDROID/,PALADIN/PAUL DENNIS
268,UATU,DORREK [SKRULL]
269,DARKSTAR/LAYNIA SERG,SERGEI
270,MISS AMERICA/MADELIN,MISS AMERICA/MADELIN
271,BEAUTY,OVERMIND/GROM
272,CANNONBALL II/SAM GU,TOLLIVER
273,"PLUNDER, ADAM KYLE M",KA-ZAR/KEVIN PLUNDER
274,"HUDSON, HEATHER",FLEX/ADRIAN CORBO
275,DEADPOOL/JACK/WADE W,CONSTRICTOR/FRANK PA
276,"LEBEAU, MERCY",DEADPOOL/JACK/WADE W
277,"AGEE, DR. AUBREY",CANNONBALL II/SAM GU
278,HULK/DR. ROBERT BRUC,SERSI/SYLVIA
279,WOLVERINE/LOGAN ,MAGNETO/MAGNUS/ERIC 
280,POWER MAN/ERIK JOSTE,SCREAMING MIMI/MELIS
281,FANDRAL [ASGARDIAN],ULIK
282,FROG-MAN II/EUGENE P,SPIDER-MAN/PETER PAR
283,THENA,"MONTOYA, JULIO"
284,PROFESSOR X/CHARLES ,"CREED, GRAYDON"
285,UNION JACK III/JOEY ,SCREAMING MIMI/MELIS
286,"DRUMM, JERICHO",ANT-MAN II/SCOTT HAR
287,CAPTAIN AMERICA,WONDER MAN/SIMON WIL
288,RUBY,PRINCESS PYTHON/ZELD
289,RED WOLF/WILDRUN,BLACK KNIGHT II/SIR 
290,MANBOT/BERNIE LACHEN,PUCK/EUGENE MILTON J
291,WOLVERINE/LOGAN ,HAVOK/ALEX SUMMERS 
292,"WING, COLLEEN",PHOENIX II
293,BOOMER/TABITHA SMITH,SHATTERSTAR II/GAVEE
294,SHE-HULK/JENNIFER WA,NAMORITA/NITA PRENTI
295,BEAST/HENRY &HANK& P,ICEMAN/ROBERT BOBBY 
296,STRANGER,SERSI/SYLVIA
297,VISION ,SANDMAN/WILLIAM BAKE
298,THANOS,TRITON
299,CASSIOPEIA,ACHILLES II/HELMUT
300,WHIRLWIND/DAVID CANN,SCREAMING MIMI/MELIS
301,MR. FANTASTIC/REED R,"RICHARDS, NATHANIEL"
302,"MARRS(-PAYNE), PHOEB","ALEXANDER, CARRIE"
303,CAPTAIN AMERICA,"JARVIS, EDWIN "
304,MR. FANTASTIC/REED R,HUMAN TORCH/JOHNNY S
305,MIDAS,CAPTAIN AMERICA
306,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S
307,SLICE/,USAGENT/CAPTAIN JOHN
308,PORCAL,ARCADIUS
309,THING/BENJAMIN J. GR,COLOSSUS II/PETER RA
310,"LEEDS, BETTY BRANT","LEEDS, NED"
311,CALLISTO,LIGHTSPEED/JULIE POW
312,HELLCAT/PATSY WALKER,RUBY
313,QUASAR III/WENDELL V,FIRESTAR/ANGELICA JO
314,JACKAL/MILES WARREN,"TRAINER, DR. SEWARD"
315,WRECKER III/DIRK GAR,BLACK WIDOW/NATASHA 
316,ROGUE /,LIVING TRIBUNAL
317,SHADOWCAT/KATHERINE ,TIMBERIUS II
318,PALADIN/PAUL DENNIS,SYNCH/EVERETT THOMAS
319,TAKU,MR. FANTASTIC/REED R
320,"NIXON, RICHARD",SUB-MARINER/NAMOR MA
321,CYCLOPS/SCOTT SUMMER,BEAST/HENRY &HANK& P
322,DRAX/ARTHUR DOUGLAS,SCARLET WITCH DOPPEL
323,ANGEL/WARREN KENNETH,THING/BENJAMIN J. GR
324,IRON MAN/TONY STARK ,VISION 
325,PSYLOCKE/ELISABETH B,"REESE, MURRAY"
326,FERAL/MARIA CALLASAN,"CHORD, ANDREW"
327,"HIGGINS, SAMUEL",POWER MAN/ERIK JOSTE
328,"LOHAN, PETER","FURY, COL. NICHOLAS "
329,"THOMPSON, EUGENE FLA","ROBERTSON, RANDY"
330,TOMBSTONE/LONNIE THO,KINGPIN/WILSON FISK
331,"OSBORN, HARRY","WATSON-PARKER, MARY "
332,U-MAN/MERRANO,BOX IV/MADISON JEFFR
333,WHIPLASH/MARK SCARLO,"HALE, JONAS"
334,REAPER II,HAVOK/ALEX SUMMERS 
335,PATRIOT/JEFF MACE,PATRIOT/JEFF MACE
336,WINDSHEAR/COLIN ASHW,QUASAR III/WENDELL V
337,DAYTRIPPER/AMANDA SE,NIGHTCRAWLER/KURT WA
338,CLOWN/CRAFTY ELIOT F,ODIN [ASGARDIAN]
339,TERRAXIA,FIRELORD/PYREUS KRIL
340,JUBILEE/JUBILATION L,D'SPAYRE
341,VISION ,HYPERION
342,"DRAKE, MADELINE BEAT",ANGEL/WARREN KENNETH
343,"WATSON-PARKER, MARY ",TARANTULA/ANTON MIGU
344,MACHINE MAN/X-51,COLOSSUS II/PETER RA
345,DR. DOOM/VICTOR VON ,SPIDER-MAN/PETER PAR
346,BANSHEE/SEAN CASSIDY,MARVEL GIRL/JEAN GRE
347,REDWING,"CARTER, SHARON"
348,SKOOKA,UNIT 101101
349,ROGUE /,LIZARD/DR. CURTIS CO
350,SHAMAN/MICHAEL TWOYO,RED GUARDIAN V
351,VISION ,CAPTAIN MARVEL II/MO
352,VOLSTAGG,HILDEGARDE [ASGARDIA
353,LYLLA,UNCLE PYKO
354,ONE ABOVE ALL [CELES,ETERNITY/ADAM QADMON
355,"MOY, ALYSSA","LAO-TSE, GEN."
356,HAMMER III/EISENHOWE,"BRIDGE, GEORGE WASHI"
357,MR. FANTASTIC/REED R,ENCHANTRESS/AMORA/HE
358,HERCULES [GREEK GOD],HUMAN TORCH/JOHNNY S
359,MR. FANTASTIC/REED R,SCARLET WITCH/WANDA 
360,SPIDER-MAN/PETER PAR,VOLCANA/MARSHA ROSEN
361,THING/BENJAMIN J. GR,HUMAN TORCH/JOHNNY S
362,PEATOR,SILVERMANE/SILVIO MA
363,CRIPPLER/KARL STRIKL,QUENTINO
364,SCREAM,BEETLE/ABNER RONALD 
365,IRON MAN/TONY STARK ,IRON MAN IV/JAMES R.
366,SUPER SABRE/MARTIN F,POWER PRINCESS/ZARDA
367,"TSURAYABA, MATSUO",SABRETOOTH/VICTOR CR
368,DELPHI,ULYSSES II
369,HUMAN TORCH/JOHNNY S,"RICHARDS, FRANKLIN B"
370,THOR/DR. DONALD BLAK,LEADER/SAM STERNS
371,HUMAN TORCH/JOHNNY S,NOVA/RICHARD RIDER
372,SETH II,HOGUN [ASGARDIAN]
373,WARTON/WARBECK,HAWK
374,MAGNETO/MAGNUS/ERIC ,BOOMER/TABITHA SMITH
375,WONDER MAN/SIMON WIL,THUNDERSTRIKE/ERIC K
376,SPIDER-MAN/PETER PAR,"FALCONER, CALVIN"
377,DEATHURGE,VOLSTAGG
378,BROTHERS GRIMM II/BA,LIVING LIGHTNING/MIG
379,TRITON,MAXIMUS [INHUMAN]
380,DOC SAMSON/DR. LEONA,DAREDEVIL/MATT MURDO
381,NOVA/RICHARD RIDER,CRIMEBUSTER/FRANK MO
382,CLEA,DR. STRANGE/STEPHEN 
383,CRYSTAL [INHUMAN],CYCLOPS/SCOTT SUMMER
384,SENTRY IV/VAL,LORD GASPAR
385,IRON MAN/TONY STARK ,"NAPIER, RAMONA DR."
386,ASP II/CLEO,VISION 
387,SPIDER-MAN/PETER PAR,"STACY, GWEN"
388,PROFESSOR X/CHARLES ,"HUDSON, HEATHER"
389,GORGON [INHUMAN],KARNAK [INHUMAN]
390,SHANG-CHI,SPIDER-MAN/PETER PAR
391,SUNSHINE/AUTUMN MACR,CAPTAIN HIP/FRED MAC
392,PEATOR,SCARLET WITCH/WANDA 
393,DAYTRIPPER/AMANDA SE,JUBILEE/JUBILATION L
394,DR. DOOM/VICTOR VON ,THUNDERBALL/DR. ELIO
395,ELECTRYON,RY'LOR
396,"KORVAC, MICHAEL",COLLECTOR/TANELEER T
397,ODIN [ASGARDIAN],FANDRAL [ASGARDIAN]
398,COLOSSUS II/PETER RA,"MOREAU, PHILLIP"
399,SERSI/SYLVIA,BLACK KNIGHT V/DANE 
400,QUICKSILVER/PIETRO M,WOLVERINE/LOGAN 
401,R'TEE,THOR/DR. DONALD BLAK
402,CHARCOAL/CHARLIE BUR,"GYRICH, HENRY PETER"
403,"LEEDS, NED","WATSON-PARKER, MARY "
404,SPIDER-MAN/PETER PAR,CHAMBER/JONOTHON STA
405,SCHEMER/RICHARD FISK,SHA SHAN
406,VISION ,HULK III/BRUCE BANNE
407,"SMITH, SIR DENIS NAY","TARR, BLACK JACK"
408,COLOSSUS II/PETER RA,SELENE
409,MALEVOLENCE,UMAR
410,SUNSPOT/ROBERTO DACO,MIRAGE II/DANIELLE M
411,CARNIVORE/COUNT ANDR,THOR/DR. DONALD BLAK
412,SPHINX,POWERHOUSE/RIEG DAVA
413,"COUNT NEFARIA, LUCHI","CANTOR, VERA"
414,WRECKER III/DIRK GAR,WONDER MAN/SIMON WIL
415,WRECKER III/DIRK GAR,GIRABOOR
416,THING/BENJAMIN J. GR,WASP/JANET VAN DYNE 
417,"MACTAGGERT, MOIRA KI",CALLISTO
418,GLADIATOR II,ASTRA
419,MYSTERIO II/DANIEL B,SPIDER-MAN/PETER PAR
420,MARVEL GIRL/JEAN GRE,COLOSSUS II/PETER RA
421,"MUGGINS, MAMIE",BLACK FOX II/
422,"FURY, COL. NICHOLAS ",WARLOCK II/ADAM WARL
423,WOLVERINE 2013,"MACTAGGERT, MOIRA KI"
424,"GRANT, SILAS",THOR/DR. DONALD BLAK
425,MIMIC/CALVIN RANKIN,BEAST/HENRY &HANK& P
426,HUMAN TORCH/JOHNNY S,SPIDER-MAN/PETER PAR
427,DIGGER II/,LANDSLIDE
428,SCARLET WITCH/WANDA ,KRAVEN THE HUNTER II
429,"MARRS, DESMOND","ALEXANDER, CARRIE"
430,NIGHTHAWK II/KYLE RI,NOVA/RICHARD RIDER
431,"ROTH, DR. GERALD",CHTYLOK
432,"JARVIS, EDWIN ","JONES, RICHARD MILHO"
433,QUASAR III/WENDELL V,THUNDRA
434,DR. DOOM/VICTOR VON ,THOR/DR. DONALD BLAK
435,"JARVIS, EDWIN ",THOR/DR. DONALD BLAK
436,HELLCAT/PATSY WALKER,MAD DOG/COLONEL BUZZ
437,"LEEDS, BETTY BRANT","LANNING, DR."
438,"BLESSING, MORGANA",ARKON
439,NIGHT THRASHER/DUANE,DIE'ODE/
440,STARFOX/EROS,MOCKINGBIRD/DR. BARB
441,CAPTAIN AMERICA,BUCKY/BUCKY BARNES
442,THOR/DR. DONALD BLAK,"RICHARDS, FRANKLIN B"
443,"SMITH, MARTY LOUIS L",WIPEOUT
444,"AYALA, MRS.","SHINCHUKO, LOTUS"
445,STRONG GUY/GUIDO CAR,BISHOP /
446,PHEMOUS,MEPHISTO
447,VAKUME,HUMAN TORCH/JOHNNY S
448,THUNDERSTRIKE/ERIC K,KARNILLA [ASGARDIAN]
449,SPIDER-MAN/PETER PAR,"OSBORN, NORMIE"
450,DR. OCTOPUS II/CAROL,MADAME QWA
451,MADAME HYDRA VI,"DUGAN, TIMOTHY ALOYI"
452,"SIKORSKY, RAYMOND",SHE-HULK/JENNIFER WA
453,BEAST/HENRY &HANK& P,HERCULES [GREEK GOD]
454,BUSHMASTER II/QUINCY,ANACONDA/BLANCHE SIT
455,INVISIBLE WOMAN/SUE ,DEFENSOR
456,NIGHTCRAWLER | MUTAN,MARVEL WOMAN | MUTAN
457,WASP/JANET VAN DYNE ,GRANDMASTER/EN DWI G
458,WONDER MAN/SIMON WIL,AURORA/JEANNE-MARIE 
459,DAREDEVIL DOPPELGANG,NORTHSTAR/JEAN-PAUL 
460,GRIFFIN II/JOHNNY HO,VASHTI
461,"JAMESON, J. JONAH",SMASHER II
462,THUNDERSTRIKE/ERIC K,STARFOX/EROS
463,WONDER MAN/SIMON WIL,IRON MAN/TONY STARK 
464,SIF,LOKI [ASGARDIAN]
465,HECTOR II,"JONES, JANIS"
466,"LEE, STAN","DUGAN, TIMOTHY ALOYI"
